	N61311_untreated	N61311_dex	N052611_untreated	N052611_dex	N080611_untreated	N080611_dex	N61311R_untreated	N61311R_dex
ENSG00000198390	1001	1898	666	1754	506	1015	1595	1411
ENSG00000183274	137	200	235	103	153	149	171	132
ENSG00000154264	901	994	1119	1287	1207	1180	1052	1525
ENSG00000235718	18	15	23	13	25	23	16	22
ENSG00000157471	742	351	329	907	739	409	336	412
ENSG00000117537	116	97	205	90	158	162	178	137
ENSG00000222195	1033	958	799	1698	1669	1750	1281	1191
ENSG00000122915	360	241	282	427	251	304	412	316
ENSG00000123451	23	13	23	27	18	22	11	16
ENSG00000146588	234	207	109	105	311	155	100	191
ENSG00000216308	1569	2302	1829	1480	835	858	2767	2730
ENSG00000111109	16	13	6	15	14	17	12	17
ENSG00000169324	59	62	80	42	158	35	129	27
ENSG00000180038	51	33	19	22	33	36	26	25
ENSG00000184633	7	4	3	7	8	7	8	7
ENSG00000126980	1111	685	582	1424	851	766	796	606
ENSG00000198883	2435	2372	2067	1842	2524	1928	2558	1631
ENSG00000116408	584	644	426	675	912	728	558	627
ENSG00000239965	135	308	145	151	337	277	265	192
ENSG00000111933	184	113	96	97	85	58	179	151
ENSG00000193148	194	203	181	237	298	250	157	221
ENSG00000230500	50	21	37	27	24	52	27	46
ENSG00000118412	997	964	364	830	809	990	979	631
ENSG00000181434	1542	923	1681	1616	2337	1105	2143	432
ENSG00000237408	1481	1062	1471	1455	648	682	833	837
ENSG00000116818	54	29	52	59	41	21	47	42
ENSG00000133046	196	97	171	156	200	166	195	262
ENSG00000123889	110	115	176	46	91	86	112	75
ENSG00000167668	9071	5471	4498	4155	4003	7348	7265	5847
ENSG00000239202	310	169	149	262	389	118	151	275
ENSG00000235431	4	0	1	1	5	6	3	1
ENSG00000183091	383	253	469	216	327	182	205	280
ENSG00000138618	4490	4717	5826	3995	6666	7708	7102	6336
ENSG00000229918	630	311	667	389	466	691	366	425
ENSG00000120600	467	590	582	572	781	1080	1626	782
ENSG00000158981	85	209	123	127	224	230	154	166
ENSG00000151375	2	2	3	1	0	4	3	3
ENSG00000214526	4	5	2	4	5	3	3	1
ENSG00000142197	18	8	11	10	11	21	17	12
ENSG00000219557	129	123	82	72	181	136	125	146
ENSG00000106299	563	329	434	204	210	254	531	215
ENSG00000124682	448	488	880	620	540	695	538	317
ENSG00000188810	77	112	55	81	63	55	48	95
ENSG00000183190	608	879	1348	1573	1416	799	1133	721
ENSG00000186882	48	115	37	90	57	52	97	109
ENSG00000233381	35	17	43	47	33	52	50	35
ENSG00000186307	1073	974	875	870	339	1541	569	613
ENSG00000172760	19	17	21	26	30	32	28	59
ENSG00000139892	1	2	3	1	0	0	2	0
ENSG00000184693	7	17	11	15	13	19	38	23
ENSG00000111350	421	190	633	127	332	160	311	146
ENSG00000175344	1	1	0	2	1	1	1	0
ENSG00000148487	86	93	140	52	70	62	130	123
ENSG00000209719	68	45	33	45	43	64	102	47
ENSG00000114492	10	12	12	9	14	9	13	4
ENSG00000212348	3	6	6	3	1	6	7	8
ENSG00000241124	87	38	70	40	24	69	59	41
ENSG00000156900	30	30	61	28	75	56	53	22
ENSG00000138997	1514	2136	1273	1223	3178	1312	2106	2262
ENSG00000215002	193	384	389	326	222	319	209	368
ENSG00000122879	5	9	14	6	7	9	6	8
ENSG00000242181	17	16	32	17	34	17	13	49
ENSG00000200111	661	385	720	736	293	492	378	669
ENSG00000144522	6276	6745	6415	6673	5269	9442	5154	5662
ENSG00000150333	342	275	316	241	415	261	234	363
ENSG00000156130	244	210	216	509	428	334	128	333
ENSG00000140802	5665	5325	4938	6138	7842	4926	8645	4578
ENSG00000247795	133	130	228	108	128	145	104	117
ENSG00000154699	154	87	104	177	205	106	236	76
ENSG00000185669	6	7	4	9	13	3	12	4
ENSG00000139544	62	45	84	42	26	34	47	29
ENSG00000237634	8461	8551	14538	12279	10208	5675	14167	13042
ENSG00000208251	11	15	9	13	12	9	2	6
ENSG00000216205	198	195	166	100	196	103	161	144
ENSG00000162317	11	11	11	13	12	8	7	17
ENSG00000111894	146	218	214	263	79	133	203	136
ENSG00000158938	1009	1119	1224	604	961	898	996	755
ENSG00000156912	124	93	73	72	141	61	103	118
ENSG00000213313	504	641	1147	815	581	815	582	891
ENSG00000124047	1556	415	1053	524	1386	434	1496	706
ENSG00000132213	166	404	412	324	367	483	324	283
ENSG00000208095	6220	3101	4679	3654	5540	2976	7388	4694
ENSG00000215533	554	424	694	1254	396	739	462	403
ENSG00000192153	123	75	140	73	108	81	93	107
ENSG00000200890	52	22	32	35	34	44	31	47
ENSG00000137419	23	28	45	33	42	41	28	24
ENSG00000153092	378	345	221	347	382	539	400	399
ENSG00000217440	41	75	88	73	68	78	56	79
ENSG00000236662	21849	38820	27352	47549	32351	20246	46257	33730
ENSG00000159746	7451	7446	8932	4717	4793	7202	5988	4763
ENSG00000110856	97	131	81	92	72	80	130	84
ENSG00000148221	84	72	75	63	76	82	124	59
ENSG00000243395	2712	6546	2848	4445	3515	5421	4701	5228
ENSG00000204768	2	3	5	2	1	1	5	5
ENSG00000249629	23	36	59	48	34	108	81	42
ENSG00000183057	651	605	771	885	772	1164	507	650
ENSG00000233741	37	9	48	24	24	13	32	30
ENSG00000115436	39	61	59	59	51	51	56	56
ENSG00000175593	73	67	50	35	44	52	69	85
ENSG00000100059	646	656	573	680	411	695	231	441
ENSG00000220743	251	214	244	169	123	221	286	155
ENSG00000200946	359	277	348	345	497	281	450	233
ENSG00000241506	689	429	458	399	357	420	611	510
ENSG00000141719	178	209	178	125	116	217	186	106
ENSG00000246831	676	1671	1307	898	1643	1510	646	1686
ENSG00000178696	28	35	62	26	30	59	19	25
ENSG00000121646	3	7	11	1	5	12	4	5
ENSG00000198372	13	4	13	3	5	5	9	2
ENSG00000176225	10	5	2	3	10	5	8	9
ENSG00000240055	50	36	38	47	37	50	62	82
ENSG00000194320	877	1293	736	1172	1146	655	1399	1293
ENSG00000240366	238	201	309	216	368	247	216	228
ENSG00000188639	70	39	77	33	100	51	43	16
ENSG00000206857	18	17	25	24	13	12	13	12
ENSG00000231638	53	16	78	81	103	49	48	17
ENSG00000196445	61	110	52	59	68	48	56	40
ENSG00000200188	30	46	102	47	35	64	65	20
ENSG00000167462	7	6	9	9	4	11	2	4
ENSG00000126327	60	46	53	41	66	49	60	72
ENSG00000119850	670	1381	1039	1028	1242	1042	1019	1700
ENSG00000152569	3	3	0	3	1	0	3	2
ENSG00000110841	175	126	91	90	139	144	98	134
ENSG00000185244	2	3	1	2	0	0	2	2
ENSG00000185875	243	230	334	141	124	70	248	167
ENSG00000205253	30	51	33	51	26	77	47	38
ENSG00000121944	1	2	0	1	1	4	1	2
ENSG00000175631	161	116	104	168	294	267	245	91
ENSG00000118281	17341	4481	8688	6580	7458	5237	16488	4042
ENSG00000214628	574	286	334	165	320	188	362	178
ENSG00000162932	592	2103	1497	1428	1735	1223	1224	2009
ENSG00000150909	170	155	106	78	114	106	235	196
ENSG00000190358	2	0	3	0	5	6	1	2
ENSG00000244254	283	612	335	422	324	260	520	314
ENSG00000164242	38	32	55	93	81	99	17	61
ENSG00000157690	10	8	1	8	11	17	10	13
ENSG00000112500	624	610	690	505	624	416	1167	466
ENSG00000175462	146	271	292	355	391	163	312	203
ENSG00000115592	63	27	43	43	42	53	58	34
ENSG00000161485	353	681	966	747	844	701	577	898
ENSG00000142497	22	23	34	13	15	29	26	24
ENSG00000213632	672	322	486	419	585	248	582	419
ENSG00000161066	19	22	38	15	23	25	29	26
ENSG00000150797	474	391	487	521	402	598	519	433
ENSG00000127706	11	15	30	15	20	4	15	14
ENSG00000248771	2527	3626	3830	3838	3417	2764	4010	2858
ENSG00000203384	225	337	183	175	283	264	283	184
ENSG00000166123	2081	2080	3837	2161	2711	4075	1404	1855
ENSG00000212576	39	36	59	11	63	26	57	17
ENSG00000113966	40	53	35	50	25	53	44	51
ENSG00000142122	556	806	673	581	596	784	1121	588
ENSG00000165220	0	0	0	3	0	2	0	1
ENSG00000201150	13	10	7	9	22	10	11	23
ENSG00000120938	1329	2146	1200	1303	967	881	715	528
ENSG00000227306	343	504	213	286	389	427	631	440
ENSG00000130984	986	994	693	1171	1059	1504	652	851
ENSG00000118493	101	88	62	89	79	78	53	78
ENSG00000103727	434	455	389	279	579	733	327	568
ENSG00000218914	45	48	17	28	27	38	45	40
ENSG00000215398	19	9	9	14	7	9	5	12
ENSG00000205607	5	5	6	3	6	10	7	3
ENSG00000189018	51	63	32	40	66	46	46	38
ENSG00000115081	25	37	44	47	27	64	54	41
ENSG00000130416	40	53	52	25	47	70	42	67
ENSG00000155898	3	3	5	1	3	1	3	2
ENSG00000117830	3	3	3	5	2	2	0	0
ENSG00000228359	45	60	73	54	43	87	82	79
ENSG00000211141	257	278	176	101	238	142	252	209
ENSG00000198328	24	28	28	14	53	61	49	83
ENSG00000227075	29	24	25	17	44	32	6	40
ENSG00000199583	1	0	3	1	2	1	0	2
ENSG00000164889	10610	6893	7860	5571	9524	9018	8176	10789
ENSG00000114009	6	13	15	6	14	9	14	18
ENSG00000155237	4045	5285	4121	3205	4661	2711	5520	3873
ENSG00000164540	3160	1642	2047	3643	4393	3049	1642	2615
ENSG00000103722	280	175	337	214	251	276	215	235
ENSG00000167591	34	61	64	38	51	41	34	22
ENSG00000244002	111	161	129	281	163	184	217	140
ENSG00000194368	15	7	15	14	15	6	10	13
ENSG00000238172	278	309	250	214	175	513	225	222
ENSG00000177737	130	141	216	150	91	160	148	189
ENSG00000198802	664	600	381	382	246	359	443	598
ENSG00000184399	776	617	1154	1106	875	518	1244	569
ENSG00000237638	2935	4090	5286	4419	5038	4746	5106	4964
ENSG00000224150	41	66	79	50	65	25	75	77
ENSG00000236970	1378	951	1171	2076	755	1189	535	1021
ENSG00000154187	33	42	10	21	32	29	44	33
ENSG00000206352	18	19	28	22	16	35	21	13
ENSG00000164759	14	47	11	53	60	42	38	34
ENSG00000108458	23	36	16	11	15	31	15	7
ENSG00000224978	864	1354	947	1531	1190	1109	1848	1104
ENSG00000245364	794	494	793	655	1138	973	719	798
ENSG00000159518	1100	872	2224	5461	1256	1075	904	2421
ENSG00000206154	144	86	173	178	191	114	104	251
ENSG00000194756	335	216	252	511	307	331	210	174
ENSG00000222403	30	36	42	55	22	51	52	42
ENSG00000171091	24	15	11	18	14	5	14	16
ENSG00000166597	484	355	328	505	377	293	228	239
ENSG00000199449	243	219	199	177	159	234	273	151
ENSG00000214316	14	13	19	16	11	19	18	10
ENSG00000159376	1132	380	488	400	966	506	980	561
ENSG00000204566	4	2	6	2	0	2	7	7
ENSG00000175934	135	118	79	72	102	77	90	83
ENSG00000134932	44	62	46	25	62	25	15	25
ENSG00000177951	40	52	53	29	60	92	25	50
ENSG00000248529	40	21	29	22	35	19	43	19
ENSG00000138883	1269	1107	849	878	886	1453	945	1046
ENSG00000244188	774	607	268	346	351	277	495	414
ENSG00000120306	1802	1464	2626	2082	1840	1638	1259	1740
ENSG00000143746	123	255	283	114	111	142	130	160
ENSG00000231143	16	19	16	10	14	14	12	4
ENSG00000206011	55	40	71	69	32	42	100	56
ENSG00000226969	11	18	6	9	12	23	17	10
ENSG00000174829	389	393	219	425	687	442	174	339
ENSG00000112850	1046	1130	1809	1327	1300	642	991	1974
ENSG00000154591	637	322	465	132	477	78	595	405
ENSG00000181051	76	22	25	40	33	39	40	30
ENSG00000184825	46	93	51	37	16	65	50	85
ENSG00000153067	249	334	261	253	232	233	189	157
ENSG00000181687	6	5	13	10	12	8	19	14
ENSG00000191004	313	181	216	117	185	297	111	114
ENSG00000231731	156	186	235	249	128	232	186	253
ENSG00000248579	50	25	57	56	34	36	34	45
ENSG00000108429	51	52	42	27	26	44	123	42
ENSG00000236466	268	217	145	179	262	169	269	239
ENSG00000103379	15	9	31	20	50	36	19	24
ENSG00000175414	24	30	30	36	24	36	12	59
ENSG00000175065	1032	765	448	607	868	503	1095	506
ENSG00000168138	334	170	229	142	151	153	248	188
ENSG00000120008	4233	3200	5648	3947	4861	1847	3656	5656
ENSG00000128152	30	21	16	20	12	20	22	25
ENSG00000175690	4	1	4	10	1	3	7	3
ENSG00000189462	1573	671	488	582	811	622	1083	1017
ENSG00000188781	834	844	513	695	828	832	772	766
ENSG00000201962	24	47	40	10	47	36	17	12
ENSG00000109609	5	7	14	3	6	5	10	7
ENSG00000128453	129	111	82	88	145	100	74	102
ENSG00000156956	1	0	4	2	5	4	0	0
ENSG00000218584	114	107	72	116	103	96	72	64
ENSG00000101003	1	2	5	3	3	2	2	0
ENSG00000183845	89	48	98	90	128	124	49	77
ENSG00000102268	2	2	2	1	1	3	2	3
ENSG00000204444	59	64	96	115	96	61	125	80
ENSG00000143937	2794	3301	4556	1890	2760	3398	3320	3952
ENSG00000191698	129	115	134	137	132	76	132	41
ENSG00000146404	791	415	626	564	977	816	654	932
ENSG00000235668	13	46	50	33	53	43	54	36
ENSG00000210726	25	15	15	15	11	27	18	27
ENSG00000182944	4	7	6	9	3	5	6	10
ENSG00000214293	982	1043	774	972	844	1144	1396	876
ENSG00000224452	95	149	92	97	215	144	111	101
ENSG00000152788	4560	2784	1629	2534	4353	4871	4181	2455
ENSG00000207793	8	17	9	22	16	19	15	15
ENSG00000103373	107	76	87	50	135	99	63	113
ENSG00000206204	123	211	131	160	175	135	266	69
ENSG00000131584	1651	1440	3253	2762	1870	2190	2652	2130
ENSG00000157764	3208	6438	5383	4678	3010	4562	6168	5117
ENSG00000229725	39	48	32	26	22	41	13	49
ENSG00000106864	19	9	28	10	18	23	16	12
ENSG00000189093	6	5	3	8	8	3	5	2
ENSG00000117496	3071	1191	1108	1747	1855	1287	2401	2297
ENSG00000148474	88	138	118	78	156	56	96	76
ENSG00000235925	28	41	32	49	41	30	37	20
ENSG00000183531	176	89	173	134	129	55	78	125
ENSG00000128585	2	0	0	3	0	0	1	0
ENSG00000135561	4	6	7	3	4	4	4	3
ENSG00000187014	569	1135	707	985	1197	558	1115	722
ENSG00000118227	431	259	244	268	624	385	591	444
ENSG00000157847	181	244	151	201	150	140	123	185
ENSG00000116904	9	20	8	14	13	8	15	18
ENSG00000197035	319	404	705	309	495	219	405	394
ENSG00000107210	6068	5481	5001	5511	5875	4275	3173	4128
ENSG00000239030	13	13	12	5	8	10	9	17
ENSG00000206333	186	113	212	66	293	214	217	139
ENSG00000172102	72	37	85	41	26	56	71	66
ENSG00000191904	152	125	124	139	275	402	254	358
ENSG00000135209	121	93	86	132	124	92	119	157
ENSG00000115793	144	76	66	87	134	54	92	92
ENSG00000214954	9	11	3	21	45	18	29	29
ENSG00000117017	83	101	88	175	109	116	130	183
ENSG00000231201	39	42	29	28	48	48	52	60
ENSG00000154377	123	89	141	61	120	146	149	62
ENSG00000190911	136	60	141	89	100	93	109	81
ENSG00000224720	284	445	357	449	364	224	412	401
ENSG00000162451	31	38	39	43	20	22	33	35
ENSG00000136888	65	71	49	79	96	66	88	65
ENSG00000137064	996	565	1028	1499	935	1017	919	1185
ENSG00000129109	84	101	81	94	71	97	84	92
ENSG00000225034	73	117	116	115	79	94	90	32
ENSG00000169616	1739	691	2222	1475	1082	794	506	826
ENSG00000147679	161	306	222	267	184	385	94	156
ENSG00000140935	112	191	98	117	89	185	275	109
ENSG00000248891	282	170	216	286	180	143	277	230
ENSG00000109712	7	3	15	13	16	8	12	5
ENSG00000100535	277	520	399	264	158	501	326	344
ENSG00000247441	2816	1261	2286	2346	1910	2223	2016	2655
ENSG00000191474	942	561	1159	519	920	420	351	416
ENSG00000166973	4	11	12	6	5	12	6	5
ENSG00000121316	245	115	330	128	166	140	151	170
ENSG00000172980	23	32	22	22	17	15	15	24
ENSG00000134982	82	60	77	88	101	54	80	100
ENSG00000151832	135	93	166	136	245	155	148	253
ENSG00000143370	13	22	7	11	18	16	10	7
ENSG00000225320	1896	1596	1584	2513	1870	1742	2469	1963
ENSG00000236891	76	93	110	86	125	75	68	48
ENSG00000112466	476	648	611	677	624	857	709	648
ENSG00000144137	358	380	575	609	622	333	389	393
ENSG00000154491	1610	1567	2132	1972	1621	1753	2385	3367
ENSG00000196771	794	1107	1487	687	1272	1080	1311	1212
ENSG00000112350	7	8	4	13	4	7	6	7
ENSG00000212150	95	91	111	216	137	151	156	124
ENSG00000209155	1	3	1	3	2	3	1	4
ENSG00000143455	37	59	31	34	75	22	40	54
ENSG00000242626	415	724	436	755	454	503	502	386
ENSG00000171200	975	844	712	1250	625	1664	549	416
ENSG00000215880	2526	1476	1417	1350	1843	1740	1622	1943
ENSG00000134465	88	65	44	47	42	85	60	55
ENSG00000238194	371	323	359	296	272	149	204	243
ENSG00000177177	281	221	207	108	121	116	152	184
ENSG00000136673	1626	1377	1528	2462	1509	1565	1559	1276
ENSG00000117457	2138	2898	2130	2246	3580	2344	3074	2446
ENSG00000128246	61	55	63	52	66	64	92	49
ENSG00000207601	66059	29949	35660	48625	48451	50391	65704	52574
ENSG00000115348	129	98	149	161	213	117	163	112
ENSG00000206727	114	31	46	95	60	104	116	51
ENSG00000146366	254	424	351	454	306	349	570	354
ENSG00000154652	646	475	639	646	390	421	590	808
ENSG00000120642	535	303	325	252	588	355	655	654
ENSG00000174017	30	20	27	54	41	58	42	41
ENSG00000191052	3462	2060	1994	1941	3083	2725	2913	1448
ENSG00000206284	135	184	190	164	117	56	93	103
ENSG00000184295	3313	2788	1681	2217	2178	1866	5448	2606
ENSG00000163529	1883	2591	1925	1722	1844	2140	2122	2445
ENSG00000139209	6	13	13	10	13	15	24	11
ENSG00000210522	29	31	24	35	18	26	26	36
ENSG00000230623	25	7	14	40	18	13	24	20
ENSG00000244823	307	325	182	208	163	292	196	206
ENSG00000159402	124	107	80	164	179	102	249	166
ENSG00000220709	291	195	179	218	342	303	414	241
ENSG00000141356	20	33	29	26	25	22	6	25
ENSG00000180911	384	350	423	201	387	283	447	282
ENSG00000199796	1911	2670	1244	3601	4166	2276	3385	2025
ENSG00000206289	10	7	8	17	17	13	14	7
ENSG00000153087	164	193	187	68	274	112	135	111
ENSG00000188211	182	232	317	111	258	240	264	335
ENSG00000119033	116	111	69	111	122	71	207	82
ENSG00000206208	152	95	134	105	201	71	225	84
ENSG00000158247	4251	5461	10275	3287	3646	5818	5883	5137
ENSG00000224300	1186	1596	1422	2376	1734	1398	2249	2297
ENSG00000220355	496	1185	594	919	671	981	522	446
ENSG00000167865	17	40	16	38	14	33	20	38
ENSG00000207196	7537	18210	17481	13044	14181	5903	20020	14218
ENSG00000198834	310	333	296	429	360	324	202	505
ENSG00000180677	46	30	16	44	42	80	22	67
ENSG00000140920	150	95	75	71	104	91	135	79
ENSG00000186747	60	47	63	31	48	54	74	89
ENSG00000185754	11882	8960	7799	9505	12265	7747	10687	8951
ENSG00000171082	175	162	176	195	79	226	153	191
ENSG00000172207	116	162	217	188	157	60	196	161
ENSG00000118181	2	3	0	2	3	2	1	2
ENSG00000155795	766	262	865	974	380	212	575	535
ENSG00000156140	14	17	7	14	19	18	5	14
ENSG00000109023	2	13	23	2	16	12	13	16
ENSG00000140424	293	373	396	454	720	396	560	383
ENSG00000178612	27	31	27	25	25	35	29	12
ENSG00000137583	1073	921	616	719	1009	745	596	392
ENSG00000161642	1205	1365	1691	1091	1255	1302	1900	1146
ENSG00000167842	6	1	3	5	2	8	1	2
ENSG00000133370	88	164	120	161	126	147	84	120
ENSG00000140437	4	12	10	10	4	4	7	11
ENSG00000116394	154	83	69	131	111	123	142	164
ENSG00000210541	2225	999	1560	1388	1854	794	2586	1620
ENSG00000163482	7	14	4	10	8	2	7	5
ENSG00000179524	5672	2567	4057	6970	3723	5962	3078	4701
ENSG00000135539	33	72	77	63	98	91	82	88
ENSG00000217114	19	8	15	9	14	15	14	10
ENSG00000163493	84	131	82	95	155	141	68	97
ENSG00000118290	918	882	551	693	684	633	446	569
ENSG00000161841	6	9	11	5	7	9	9	7
ENSG00000149010	173	109	189	99	167	70	226	196
ENSG00000162350	6	9	5	9	4	12	8	10
ENSG00000114979	895	1023	1982	1089	2186	581	1129	700
ENSG00000200515	267	95	124	240	249	262	123	177
ENSG00000219101	41	107	68	63	63	32	98	43
ENSG00000150090	996	1053	921	906	814	1161	950	1288
ENSG00000161794	7	10	10	7	7	8	9	12
ENSG00000137325	54	65	62	63	59	64	45	58
ENSG00000194106	2926	3093	4837	6334	3947	8928	7481	6510
ENSG00000103355	95	154	134	95	65	209	66	143
ENSG00000226699	3318	1633	1160	1623	1911	2566	1944	1377
ENSG00000193137	198	188	226	226	125	221	211	280
ENSG00000173761	30	34	17	33	19	43	26	31
ENSG00000129504	115	109	80	49	76	242	115	63
ENSG00000102121	161	99	148	118	160	155	89	148
ENSG00000212456	110	73	48	68	81	77	46	71
ENSG00000225937	34	23	28	14	32	31	33	24
ENSG00000116944	42	16	28	19	28	38	31	16
ENSG00000221633	7	8	3	4	4	3	12	5
ENSG00000130790	162	166	178	204	196	163	287	157
ENSG00000142744	456	295	557	276	490	398	861	323
ENSG00000148927	794	857	590	470	393	604	435	460
ENSG00000245857	5	3	0	2	8	4	2	2
ENSG00000230426	495	837	784	655	1118	682	462	973
ENSG00000177294	200	149	71	129	177	121	72	65
ENSG00000218908	2	3	5	5	4	12	3	12
ENSG00000136851	137	302	236	237	227	226	205	149
ENSG00000226489	538	615	275	914	596	629	738	802
ENSG00000192773	493	628	499	439	326	711	219	713
ENSG00000214413	231	406	585	445	704	721	555	356
ENSG00000149240	1522	937	1201	1201	1386	1815	1169	879
ENSG00000113314	724	1041	728	920	880	749	1117	579
ENSG00000134565	205	115	112	92	121	183	100	130
ENSG00000212570	2	0	1	0	3	3	4	1
ENSG00000248179	36	13	33	33	20	24	44	20
ENSG00000213907	1048	339	757	291	817	408	775	404
ENSG00000124801	71	57	55	30	24	77	55	70
ENSG00000190981	582	888	279	1041	401	365	788	544
ENSG00000187010	820	622	962	279	676	430	267	629
ENSG00000249430	46	109	134	86	139	139	115	123
ENSG00000245466	7611	8838	3958	8743	7463	3995	6100	6923
ENSG00000166050	23	23	22	34	25	22	16	8
ENSG00000203335	1094	1187	634	957	489	1011	528	907
ENSG00000106614	82	43	63	53	62	35	92	44
ENSG00000175040	36	16	34	22	36	60	28	8
ENSG00000212075	262	515	573	325	532	669	369	241
ENSG00000132787	40	27	43	30	37	43	23	47
ENSG00000179292	1130	710	2075	608	1911	711	1429	752
ENSG00000144176	15	14	13	12	9	12	13	12
ENSG00000163893	122	125	180	111	90	183	131	160
ENSG00000106579	31	34	14	38	30	21	39	38
ENSG00000239359	58	143	50	62	169	78	97	114
ENSG00000244394	48	59	96	53	74	98	66	36
ENSG00000181284	12	31	23	8	13	11	17	23
ENSG00000136856	527	815	1633	304	870	389	1080	692
ENSG00000183461	15	25	10	25	28	4	7	11
ENSG00000176210	18	12	20	12	16	24	15	10
ENSG00000143836	816	557	892	963	742	821	1042	862
ENSG00000201509	1472	704	961	771	1520	685	1579	995
ENSG00000238290	632	776	632	597	594	531	705	541
ENSG00000231039	212	340	178	298	240	302	343	262
ENSG00000206457	11154	11867	15512	14897	10236	17133	22050	5809
ENSG00000124919	9	9	14	7	16	8	7	7
ENSG00000168497	45	22	30	23	44	11	21	36
ENSG00000174896	40	18	20	17	27	17	34	21
ENSG00000111057	508	793	721	584	540	968	1277	971
ENSG00000161190	250	200	231	300	329	206	463	263
ENSG00000226375	1868	669	850	1759	1491	1354	2330	1259
ENSG00000141034	863	1109	1116	1076	751	804	1112	1598
ENSG00000175224	72	96	176	89	68	80	82	48
ENSG00000134359	22	26	18	32	20	19	32	29
ENSG00000144633	7	33	17	18	17	24	13	31
ENSG00000197345	13054	20043	10141	11807	12390	11050	13712	14529
ENSG00000174958	1394	1385	531	1315	857	772	1656	1084
ENSG00000129067	695	218	389	472	568	539	343	532
ENSG00000138888	59	56	73	67	81	70	65	118
ENSG00000112948	61	110	82	51	59	76	112	89
ENSG00000243728	196	58	136	155	89	63	103	48
ENSG00000182922	91	60	72	53	56	106	72	128
ENSG00000219771	1	1	1	0	1	0	3	1
ENSG00000204648	143	126	81	152	113	100	62	95
ENSG00000116784	69	58	73	63	67	61	55	57
ENSG00000148812	154	344	163	252	261	464	156	173
ENSG00000175650	315	220	278	187	303	406	172	150
ENSG00000192803	817	933	995	1383	818	770	649	517
ENSG00000214843	172	86	72	155	165	208	143	91
ENSG00000166639	1445	812	989	553	653	816	771	422
ENSG00000223809	0	1	0	2	1	2	0	1
ENSG00000210830	14	24	11	20	38	12	9	12
ENSG00000217152	2681	7252	4434	2702	6219	5258	3528	3406
ENSG00000150987	8	14	10	12	13	13	21	28
ENSG00000152756	120	56	77	100	105	40	90	55
ENSG00000187331	508	739	509	736	618	420	635	585
ENSG00000115538	21	15	25	27	10	14	8	10
